"","order","order_size","mass_g","gestation_mo","newborn_g","weaning_mo","wean_g","afr_mo","life_mo","litter_size","litters_per_year"
"1","Artiodactyla",153,115842.641464968,7.25526666666667,7082.12581967213,5.2541935483871,51024.6607407407,21.6917054263566,247.848484848485,1.27192307692308,1.04083333333333
"2","Carnivora",187,43381.5070618557,3.69424418604651,3656.79442028986,3.50965753424658,21020.05,26.3794160583942,252.601449275362,2.76441025641026,1.17752212389381
"3","Cetacea",54,9830457.48372549,11.7959574468085,343076.875416667,13.7940625,4796125,92.9323684210526,585.692307692308,1.01239130434783,0.434333333333333
"4","Dermoptera",2,1000,2.75,35.9,6.34,NA,NA,210,1,NA
"5","Hyracoidea",4,3030.835,7.4,231.06,3.60333333333333,500,17.17,139.5,1.7925,NA
"6","Insectivora",90,132.641411764706,1.15,6.056,1.0876,33.10375,8.67307692307692,46.15,4.0338202247191,1.62936170212766
"7","Lagomorpha",42,1701.98805555556,1.175,56.9742307692308,0.950833333333333,715.345714285714,7.11612903225806,108.25,3.5735,2.91034482758621
"8","Macroscelidea",10,123.802222222222,1.90571428571429,24.4716666666667,0.826,104.495,3.672,68.25,1.55,4.3125
"9","Perissodactyla",15,694486.666666667,13.0413333333333,27015.3383333333,12.7018181818182,382190.776666667,47.045,426.166666666667,1,0.486666666666667
"10","Pholidota",7,7980,3.62666666666667,276.45,2.95666666666667,2005.925,24,240,1.00833333333333,1
"11","Primates",149,5145.33103896104,5.46678260869565,287.237657657658,9.5745045045045,2114.86458333333,45.1153773584906,308.905405405405,1.18444444444444,0.892359550561798
"12","Proboscidea",2,3342500,21.29,99522.575,28.675,6e+05,137.02,900,1.01,0.22
"13","Rodentia",597,637.045559210526,1.30990099009901,35.4501208459215,1.1093125,134.604397905759,6.48399361022364,83.8447204968944,3.64103896103896,2.18138036809816
"14","Scandentia",7,388.583333333333,1.63,12.784,1.1525,102.2,4.53,106.333333333333,1.96,7.5
"15","Sirenia",5,1169400,10.8,22877.7766666667,20,67500,66.08,518,1,0.363333333333333
"16","Tubulidentata",1,60000,7.08,1734,3.37,6250,26,288,1.03,1
"17","Xenarthra",19,7238.5,4.945625,314.292,2.01166666666667,420,18.2833333333333,255.090909090909,1.945,1.02444444444444
